Stock quote and option quote for SPY on 11/8/23 00:30:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
436.93,P,+1.24,436.49, ,436.54, ,"91 x 5,000","64,256,114",435.69,437.585,434.51

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,1.45%,80.32,1.583,Q,9/15/23,459.44,373.61,"856,432,000",1

Theo parameters
Theo date,Theo stock price,Theo volatility
11/6/23, 0.00$, 0.00%

7 NOV 23  (0)  100
,,Theo Price,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Theo Price,Mark,,
,,432.47,96.805,96.21,N,97.40,Q,7 NOV 23,340,0,M,.01,B,322.75,.005,,
,,432.00,86.805,86.21,N,87.40,Q,7 NOV 23,350,0,N,.01,B,330.08,.005,,
,,431.78,82.805,82.21,N,83.40,Q,7 NOV 23,354,0,N,.01,B,332.84,.005,,
,,431.79,81.830,81.21,N,82.45,Q,7 NOV 23,355,0,N,.01,B,333.51,.005,,
,,<empty>,80.445,79.44,X,81.45,Q,7 NOV 23,356,0,N,.01,B,334.17,.005,,
,,<empty>,79.445,78.44,X,80.45,Q,7 NOV 23,357,0,N,.01,B,334.83,.005,,
,,<empty>,78.445,77.44,Q,79.45,Q,7 NOV 23,358,0,N,.01,B,335.48,.005,,
,,<empty>,77.445,76.44,Q,78.45,Q,7 NOV 23,359,0,N,.01,B,336.11,.005,,
,,<empty>,76.445,75.44,Q,77.45,Q,7 NOV 23,360,0,N,.01,B,336.74,.005,,
,,<empty>,75.445,74.44,Q,76.45,Q,7 NOV 23,361,0,N,.01,B,337.36,.005,,
,,<empty>,74.445,73.44,X,75.45,Q,7 NOV 23,362,0,N,.01,B,337.97,.005,,
,,<empty>,73.455,72.46,Q,74.45,Q,7 NOV 23,363,0,N,.01,B,338.57,.005,,
,,<empty>,72.445,71.44,X,73.45,Q,7 NOV 23,364,0,N,.01,B,339.16,.005,,
,,<empty>,71.450,70.45,Q,72.45,Q,7 NOV 23,365,0,N,.01,B,339.73,.005,,
,,<empty>,70.450,69.45,Q,71.45,Q,7 NOV 23,366,0,A,.01,B,340.30,.005,,
,,<empty>,69.450,68.45,Q,70.45,Q,7 NOV 23,367,0,N,.01,B,340.85,.005,,
,,<empty>,68.445,67.44,Q,69.45,Q,7 NOV 23,368,0,A,.01,B,341.39,.005,,
,,<empty>,67.445,66.44,Q,68.45,Q,7 NOV 23,369,0,N,.01,B,341.91,.005,,
,,<empty>,66.445,65.44,X,67.45,Q,7 NOV 23,370,0,N,.01,B,342.42,.005,,
,,<empty>,65.450,64.45,Q,66.45,Q,7 NOV 23,371,0,N,.01,B,342.91,.005,,
,,<empty>,64.450,63.45,Q,65.45,Q,7 NOV 23,372,0,N,.01,B,343.39,.005,,
,,<empty>,63.450,62.45,Q,64.45,Q,7 NOV 23,373,0,N,.01,B,343.85,.005,,
,,<empty>,62.445,61.44,Q,63.45,Q,7 NOV 23,374,0,N,.01,B,344.29,.005,,
,,430.33,61.835,61.22,N,62.45,Q,7 NOV 23,375,0,N,.01,B,344.70,.005,,
,,430.23,60.835,60.22,N,61.45,Q,7 NOV 23,376,0,N,.01,B,345.10,.005,,
,,<empty>,59.445,58.44,Q,60.45,Q,7 NOV 23,377,0,A,.01,B,345.47,.005,,
,,<empty>,58.445,57.44,X,59.45,Q,7 NOV 23,378,0,N,.01,B,345.82,.005,,
,,<empty>,57.445,56.44,Q,58.45,Q,7 NOV 23,379,0,N,.01,B,346.14,.005,,
,,<empty>,56.445,55.44,Q,57.45,Q,7 NOV 23,380,0,N,.01,B,346.43,.005,,
,,<empty>,55.440,54.45,Q,56.43,Q,7 NOV 23,381,0,N,.01,B,346.68,.005,,
,,<empty>,54.435,53.44,X,55.43,Q,7 NOV 23,382,0,N,.01,B,346.90,.005,,
,,429.42,53.825,53.22,N,54.43,Q,7 NOV 23,383,0,N,.01,B,347.08,.005,,
,,429.29,52.825,52.22,N,53.43,Q,7 NOV 23,384,0,N,.01,B,347.22,.005,,
,,<empty>,51.435,50.44,Q,52.43,Q,7 NOV 23,385,0,N,.01,B,347.31,.005,,
,,<empty>,50.435,49.44,Q,51.43,Q,7 NOV 23,386,0,N,.01,B,347.36,.005,,
,,<empty>,49.435,48.44,Q,50.43,Q,7 NOV 23,387,0,N,.01,B,347.34,.005,,
,,428.74,48.825,48.22,N,49.43,Q,7 NOV 23,388,0,N,.01,B,347.27,.005,,
,,428.58,47.825,47.22,N,48.43,Q,7 NOV 23,389,0,A,.01,A,347.13,.005,,
